StockNumber,StockScore,StockClose,StockVolume
2324.TW,23.64927615084339,21.6,22997.175
6165.TW,23.58348808496112,34.5,178.002
6477.TW,23.325871804030022,44.799999,692.958
2006.TW,23.301943032074703,46.599998,10006.342
1414.TW,23.218745755923145,15.35,518.455
5203.TW,23.21006712114257,77.800003,248.132
2014.TW,23.19349206580125,48.900002,44703.62
3057.TW,23.0675795756735,13.95,192.1
2028.TW,23.0548185471172,47.700001,3140.748
5283.TW,22.97408818097876,114.0,62.476
3622.TW,22.95043574518357,29.6,236.567
1453.TW,22.74161100023749,8.73,137.822
2204.TW,22.715642300729403,66.400002,1930.496
1714.TW,22.67733333333333,11.25,2812.507
1608.TW,22.64593526615045,25.25,4498.676
1402.TW,22.63337680332361,29.6,16662.631
3308.TW,22.610644638285653,8.77,136.208
2357.TW,22.51506684198992,351.0,7221.875
2465.TW,22.490151870970006,60.799999,1949.798
9110.TW,22.478366030636945,3.05,209.099
5907.TW,22.473066356577053,20.65,288.7
2610.TW,22.36924718021424,17.25,27510.695
8467.TW,22.360145597065237,38.5,0.0
4994.TW,22.342739376579456,60.5,35.0
4155.TW,22.309186378018858,23.700001,65.091
1725.TW,22.280514849688156,19.9,116.325
2612.TW,22.23579670281523,59.0,9355.799
006205.TW,22.23450849213783,35.380001,1498.876
2636.TW,22.089884160283997,183.0,37383.2
9924.TW,22.08387366827857,42.950001,107.015
2597.TW,22.012745487006544,142.0,250.171
1717.TW,21.97139929587375,38.799999,2024.224
1432.TW,21.970391000939507,13.55,134.723
00673R.TW,21.929477102428923,15.01,1291.0
2485.TW,21.879694547466453,20.299999,2003.245
4108.TW,21.837029659386868,22.15,283.802
1108.TW,21.79161071777342,12.8,1151.297
5876.TW,21.713986288500823,41.75,4313.694
2440.TW,21.70158324714957,19.85,966.15
2616.TW,21.669604039222392,35.650002,76.487
6505.TW,21.610046531483917,97.300003,6358.919
3673.TW,21.5606832931922,42.900002,1857.559
911622.TW,21.374387748775504,7.62,676.622
1341.TW,21.296168153614865,74.699997,8.019
3026.TW,21.292,125.0,1368.891
00648R.TW,21.26709398230775,7.01,753.0
1459.TW,21.23570511443097,13.1,694.721
8213.TW,21.19858406318118,46.400002,2211.31
9938.TW,20.98080738753993,92.699997,964.869
2105.TW,20.901719913332546,43.099998,5032.33
2013.TW,20.803522079934066,43.599998,653.883
1736.TW,20.77955298974201,76.0,142.695
6558.TW,20.769601854043465,38.599998,229.09
2516.TW,20.741541766136688,5.96,156.021
9105.TW,20.710846253671228,4.84,6075.058
4148.TW,20.698397215480018,33.549999,8.0
2352.TW,20.55300110600403,29.5,4735.521
1701.TW,20.51409527042104,23.549999,630.91
5531.TW,20.48872450445274,11.8,951.589
4137.TW,20.440511600237954,205.0,111.988
2421.TW,20.3561343555752,43.700001,301.472
6669.TW,20.29863525933148,937.0,406.278
0061.TW,20.16368606387807,22.15,212.654
1312.TW,20.0897163618122,29.15,6356.347
1340.TW,20.04620565431904,11.3,175.182
2704.TW,20.036981451953977,28.25,21.039
1611.TW,19.87625429829676,11.15,251.86
9931.TW,19.719341800472154,38.5,3.006
3029.TW,19.672595716871548,43.549999,520.628
1417.TW,19.65951408161292,14.85,519.712
2354.TW,19.51066313674744,61.599998,4492.32
2888A.TW,19.39530145046461,41.200001,149.926
2888.TW,19.394224445794872,9.17,71227.406
2478.TW,19.34088716016947,68.300003,640.226
01004T.TW,19.279549184286548,15.91,107.0
2385.TW,19.234943020716777,80.5,5780.194
2404.TW,19.152805122938755,195.5,1292.099
6141.TW,18.993561866757258,26.799999,306.408
911868.TW,18.9315592737629,1.59,1889.0
3694.TW,18.92746700617285,22.5,235.11
8482.TW,18.908322202668607,72.199997,5.0
2881A.TW,18.891334189624168,60.900002,206.0
6184.TW,18.88689793243163,44.0,42.097
2107.TW,18.86854219770316,23.9,438.199
00669R.TW,18.861131978990443,7.96,2835.05
2882A.TW,18.78381330236429,60.599998,112.163
6112.TW,18.78095511811617,39.950001,166.459
3030.TW,18.749092656653804,57.599998,372.529
8463.TW,18.74750602085724,35.849998,73.08
2706.TW,18.740160697277677,14.4,334.077
2528.TW,18.69231382217717,21.6,12.03
1227.TW,18.684983380498934,52.5,2585.705
2882.TW,18.634954744549283,54.299999,24371.85
5288.TW,18.627423256983064,154.5,133.0
1560.TW,18.601038180397797,64.5,366.635
2607.TW,18.595424124501488,32.150002,23735.633
00739.TW,18.52819472554221,26.799999,213.843
2241.TW,18.5127114388108,59.5,1312.816
3416.TW,18.468190687447983,74.599998,140.546
2206.TW,18.37478526238188,28.75,401.401
4927.TW,18.3730797767681,57.700001,2059.667
1558.TW,18.33847717264481,163.0,163.214
2889.TW,18.288888485815686,16.450001,2325.162
5225.TW,18.21294393006984,20.1,24.0
3042.TW,18.16849015885417,120.0,7328.866
2388.TW,18.102236533993512,54.0,8828.304
4551.TW,18.053904657689863,173.0,133.622
1507.TW,18.04590388770967,60.700001,7.115
1589.TW,18.021885292808516,70.900002,385.607
2832.TW,17.972261704107712,19.6,269.148
01007T.TW,17.949266087354918,19.48,131.0
